Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain
SRR1146385,RNA-Seq,100,2060566500,PRJNA236568,SAMN02598155,1454735527,osteoblast,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX451573,GSM1315801,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-06-25T00:00:00Z,GSM1315801,neonatal calvaria,SRP036025,C57BL/6J-Col3.6 CFP
SRR1146386,RNA-Seq,100,2120451100,PRJNA236568,SAMN02598157,1491474317,osteoblast,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX451574,GSM1315802,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-06-25T00:00:00Z,GSM1315802,neonatal calvaria,SRP036025,C57BL/6J-Col3.6 CFP
SRR1146387,RNA-Seq,100,2119667400,PRJNA236568,SAMN02598177,1487940436,osteoblast,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX451575,GSM1315803,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-06-25T00:00:00Z,GSM1315803,neonatal calvaria,SRP036025,C57BL/6J-Col3.6 CFP
SRR1146388,RNA-Seq,100,2104291200,PRJNA236568,SAMN02598154,1481803302,osteoblast,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX451576,GSM1315804,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-06-25T00:00:00Z,GSM1315804,neonatal calvaria,SRP036025,C57BL/6J-Col3.6 CFP
SRR1146389,RNA-Seq,100,2163681300,PRJNA236568,SAMN02598168,1517725946,osteoblast,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX451577,GSM1315805,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-06-25T00:00:00Z,GSM1315805,neonatal calvaria,SRP036025,C57BL/6J-Col3.6 CFP
SRR1146390,RNA-Seq,100,2162852600,PRJNA236568,SAMN02598180,1513751036,osteoblast,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX451578,GSM1315806,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-06-25T00:00:00Z,GSM1315806,neonatal calvaria,SRP036025,C57BL/6J-Col3.6 CFP
SRR1146391,RNA-Seq,100,2201299300,PRJNA236568,SAMN02598165,1555951016,osteoblast,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX451579,GSM1315807,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-06-25T00:00:00Z,GSM1315807,neonatal calvaria,SRP036025,C57BL/6J-Col3.6 CFP
SRR1146392,RNA-Seq,100,2265293500,PRJNA236568,SAMN02598167,1595165780,osteoblast,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX451580,GSM1315808,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-06-25T00:00:00Z,GSM1315808,neonatal calvaria,SRP036025,C57BL/6J-Col3.6 CFP
SRR1146393,RNA-Seq,100,2265658000,PRJNA236568,SAMN02598148,1592296843,osteoblast,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX451581,GSM1315809,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-06-25T00:00:00Z,GSM1315809,neonatal calvaria,SRP036025,C57BL/6J-Col3.6 CFP
SRR1146394,RNA-Seq,100,1606854400,PRJNA236568,SAMN02598159,1134957549,osteoblast,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX451582,GSM1315810,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-06-25T00:00:00Z,GSM1315810,neonatal calvaria,SRP036025,C57BL/6J-Col3.6 CFP
